type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status,sold_year,sold_month,age,status_encoded
single_family,2003,4.0,3.0,2.0,1.0,4.0,13939.0,2400.0,2.0,2018-05-31,854501.0,for_sale,2018,5,21,0
single_family,2024,3.0,3.0,2.0,1.0,2.0,2614.0,1930.0,3.0,2018-05-31,477990.0,for_sale,2018,5,0,0
single_family,2024,4.0,3.0,1.0,1.0,2.0,4792.0,2846.0,3.0,2018-05-31,529900.0,for_sale,2018,5,0,0
single_family,2024,3.0,2.0,2.0,1.0,2.0,6098.0,2729.0,2.0,2018-05-31,549900.0,for_sale,2018,5,0,0
single_family,2024,3.0,3.0,2.0,1.0,3.0,6098.0,2661.0,3.0,2018-05-31,559900.0,for_sale,2018,5,0,0
single_family,2024,3.0,2.0,2.0,1.0,3.0,6534.0,3200.0,2.0,2018-05-31,559900.0,for_sale,2018,5,0,0
single_family,2024,2.0,2.0,2.0,1.0,2.0,3049.0,1371.0,1.0,2018-05-31,474990.0,for_sale,2018,5,0,0
single_family,2024,3.0,3.0,3.0,1.0,2.0,3049.0,1890.0,2.0,2018-05-31,554990.0,for_sale,2018,5,0,0
single_family,2024,3.0,2.0,2.0,1.0,2.0,6534.0,1532.0,1.0,2018-05-31,499516.0,for_sale,2018,5,0,0
single_family,2024,3.0,3.0,2.0,1.0,3.0,3049.0,1747.0,3.0,2018-05-31,475990.0,for_sale,2018,5,0,0
single_family,2024,4.0,4.0,3.0,1.0,3.0,7405.0,3305.0,3.0,2018-05-31,1003325.0,for_sale,2018,5,0,0
single_family,2024,6.0,5.0,4.0,1.0,3.0,10454.0,5234.0,3.0,2018-05-31,1452500.0,for_sale,2018,5,0,0
mobile,2001,5.0,3.0,3.0,1.0,2.0,45738.0,2432.0,1.0,2016-04-14,450000.0,for_sale,2016,4,23,0
single_family,2024,4.0,3.0,2.0,1.0,3.0,11326.0,2727.0,1.0,2018-05-31,810000.0,for_sale,2018,5,0,0
single_family,2024,3.0,3.0,2.0,1.0,2.0,3049.0,1464.0,2.0,2018-05-31,437990.0,for_sale,2018,5,0,0
condo,1985,2.0,2.0,1.0,1.0,2.0,436.0,960.0,2.0,2007-11-28,300000.0,for_sale,2007,11,39,0
single_family,2024,3.0,3.0,2.0,1.0,2.0,3049.0,1953.0,3.0,2018-05-31,497990.0,for_sale,2018,5,0,0
mobile,1971,3.0,2.0,2.0,1.0,2.0,13939.0,1440.0,1.0,2018-05-31,15000.0,for_sale,2018,5,53,0
single_family,2003,4.0,3.0,2.0,1.0,2.0,13939.0,3669.0,2.0,2018-05-31,749900.0,for_sale,2018,5,21,0
